product_name,review,rating
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",The phone is very awesome all the interface/ui is so so good overall the camera is also good at that price,4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Excellent mobile super undi aa price ki chala batter iphone feeling undi nijamga,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Okay don't know why some people saying camera is not good. I must say one of the best camera I have ever used. I'll update more pic in future. Performance is good. Genshin run on low smoothly..
New update fixed the front camera too much photoshop.",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","The product is good.
The back cover need to be of metallic.
The sim tray quality seems not so good.
The software is good and fast . UI is good. Ringtones are boring😅.
Design is good.
It support 33 watt fast nothing charger (but its not yet available online or offline🤪)
Only 45 watt and 65 watt charger is available.
I am just waiting for the availability of 33 watt charger 😅
You can not use dual sim with memory card due to low space in the sim tray. Either you choose 1 memory card and 1 si...
READ MORE",4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Performance camera quality battery very good 👍,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Really impressive mobile is good camera is good battery backup good charging time also 45 minutes full charge really under 16k mobile go for it but one disappointment is not giving adaptor please give adaptor,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Camera is ok but there is noise at night but video stabilizer is very awesome and performance is so amazing.🤍✨,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Features fine as per value.
Camera 3/5
Display 5/5
Battery 5/5
Software 4/5",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Love the design and best performing OS in this segment.,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Value for money.,4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Look awesome value for money,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Nice phone in the price range.,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Very nice phone,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Camera is very nice 🥰😍,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Best Value For Money Phone,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",While charging the phone I can feel the earthing in these nuts I can literally feel the shock guys please be careful while using the phone while charging,3
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Product is very nice 👍 money of value,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Good deal at this price..
detailed camera review soon..",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Product is good and mobile is not slippery in hand. Look wise also decent. Charger adaptor should have been provided along with the phone. Transparent back cover also missing here.,4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Go for it now. there's no need to wait front camera is amazing and clean Os,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Best phone in this price range,4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","The mobile phone is fantastic! The design is stylish, the features are advanced, and the performance is exceptional. I'm truly impressed with its quality and functionality.
Thanks to Nothing",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Really Good phone in this price range
Go for it!!!",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Best mobile.,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Good Phone. Display is really good. Camera needs improvement. Nothing OS 2.6 is awesome. Clean and smooth UI. Battery usage is superb.,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","I have been using this for one month and let me rate all functionalities out of 10!

Battery: 9/10
Design: 10/10
Display: 7/10
Camera: 4/10
Sound: 7/10
Haptics: 7/10
Brightness: 7/10",4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Its a best phone under 15k-20k if you're wanting a great performance based phone, Buying this for my mom and she loved it. Camera is not that good. This phone is for long term use and without lagging issues.",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Superb 😃😃😃)),5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Go for it,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Simply Excellent
Price worth
Super design
Super fast
Simply super",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Very smooth for the price range, camera and performance is average. Very good battery life",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","After approx 2 months use.. display hanging problem too much, battery backup is less then average 😔.. average camera...so please don't buy this phone. Totally waste of money",3
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Good phone for this price. Got it in bbd sale for my dad. Bcoz of clean software experience and zero bloatware. Usage is minimal for him .

1. Design - 4/5. Plastic quality is good and feels solid. Unique colours. Modular design at this price is great. Accesories are great too .
2. Display - 4/5. For this price amoled display with 120hz is good with indisplay fingerprint .
3. Camera - 3/5. Both front and rear cameras are average . For daylight its decent. Even in slight low light its ...
READ MORE",4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","pH was outstanding... In this price range software experience was smooth.. no one can beat it when it comes to software department.. value for money.
Camera was ok ok type.. but I suggest use lmc8.4 gcam for best result....",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Camera was not as expected .
They may add some accessories to it also",3
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Overall product is good for moderate usage, not for heavy gaming , you can do casual gaming though . Software awesome, camera is good",4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Camera is decent 🤟🏼, Best in the Price , design is superb , its a different experience in android",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",It's a best phone in this budget,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Camera 3.5/5
Display 5/5
Performance 4/5
Speakers (single) 3/5
Software 5/5
Battery backup 4.5/5
Overall mobile is good in this price...charger
charger charger.....",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Camera good
Overall good under 15k👍",4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Camera is not good... Pls don't use locel charger
Current pass in screws.... Pls don't buy this phone ....",3
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Good billd quality nice cemara
No scrow drive it comes in box it's only sim egecter
Charging drain fast
Light heating",3
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Best phone in this budget
Superb build quality
Superb camera quality
Superb sound quality
Best design in this budget",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Nice phone,4
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",That's Great Worth it,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Review After 2 Weeks of Usage

Pros:

1. Clean UI with no ads or bloatware


2. Impressive battery life


3. Great performance


4. Nothing OS provides a clean, smooth experience


5. Helpful Nothing widgets



Cons:

1. Average camera quality",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","Phone is really just an imagination. It's clean UI along with the processor is something which is missing in every Chinese phone in this price range. No matter what, it's an out the box product.
Just go for it, you won't ever regret.",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Amazing experience value for money iPhone experience in camera very nice perfomancethanks big billion days always thankful to Flipkart ✅✅😍😍👍👍❣️🔥🔥🔥🔥,5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews","I normally use iphone 14 pro, i bought this phone for my Mom. As MrWhoseTheBoss YouTuber said, it is hard to digest how good this phone is wrt to its budgets. Yes there are little compromises on hardware and camera. But the fact that it runs stock android puts all others to down. I am loving it and i really feel the features are thoughtfully developed. Kudos to team Nothing (Carl pie 🫡)",5
"CMF by Nothing Phone 1 (Black, 128 GB) Reviews",Nice product... camera performance is good... smooth UI experience... nothing os is very good to use... thanks to Flipkart for their service.... battery backup is average need to rectify it by pushing software update...,5
