product_name,review,rating
"Google Pixel 8 (Hazel, 256 GB) Reviews",I bought p8 for 54k with cc and exchange and other offer.so far I am highly satisfied. Display is great but less contrasty so you feel washed out colour after switching from old phone. I am getting 6 to 7 hrs of SOT with a new software update. The phone will be warm some time on the network but not on wifi. I haven't noticed any call drops. I think the recent software update resolved many issues. Go for it if you are not a gamer.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Whoever is thinking bout buying the phone right now stop. If you ain't getting any good offers or you are not a pixel fan, then there is no point in buying this phone at this price.
Pros:-

Cameras: like every other youtuber is saying bout this phones cameras, it's top class. The raw photos has really good details and the dynamic range is pretty good. I would say photos are better than the iphones. Videos with this phone can easily be compared with the videos from iphone 13/14/15. Also you wi...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","Perfect size phone for a compact phone user. Hazel color looks amazing.
It has the best display on a phone in the world(check DXOMark rating).
The phone is quick and the touch is amazing!
Battery life is decent considering display quality and the brightness.
I'm yes and to test the camera, but pixel never disappoints in that genre😆",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","The phone is excellent. No heating, but it does get ever so slightly warm but no where close to how hot tensor G1 and G2 got.performance is top notch. Haptic on this phone is ultimate it's way better than any other phone including iphones. Display is beautiful. This time Google nailed it. Feels very premium.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Initial impressions (its been about three days since I got the phone)
The phone looks and feels GREAT. Better in real life than in pictures (even the official pictures put up by Google). Definitely an eye-turner in a market full of samsungs and apples.
The camera lives up to the hype. Realistic images - what you see with your eyes is what the phone captures.
The display is amazing, the UI is smooth and has that premium feel because of the small details (animations, etc) that google pays att...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews",Just looking like a 😳 worth,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","feel premium..display,camera and biuld quality superb..heats little bit if u use continuously",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Nice performance of camera... Good Software experience.. Battery 🔋 performance also good for the full day,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Camera 10/10
User Experience 10/10
Display 10/10
Performance 10/10 - No issues so far

120Hz display feels so much better",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","What you'll like:
- Great pics.. no matter what the lighting. Came here from an S22 Ultra. Unlike that, the P8 naturally knows when and how to take the perfect, contrasty pic. IDK how!!
- 'Best take' feature is a must have. Boon if you have kids or take a lot of group pics.
- Compact, Fast and Great Screen... easily visible even in direct sunlight.
- Slick haptics
- Battery lasts an entire day
- Smartness just evenly spread across the entire OS.
- Superb value if bought during the sale.

W...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Must buy amazing phone,camera quality awesome,in hand feel also awesome, just go for it",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Using pixel 8, 256gb from past one month its very smooth and cool. But the battery won't last more and
Not suitable for gaming.

Superb camera quality.
Design wise looking decent and immersive.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",I'll update this review once my phone receives 1 or 2 updates because the heating issues are pretty bad,5
"Google Pixel 8 (Hazel, 256 GB) Reviews",One of the best cameras you can get on Android phones,5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Much better than My older pixel 7.Really licked pixel 8 a lot.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Just perfect phone. Don't go with negative ratings. Phone is so good for normal usage. No heating issue so far. If you feel battery draining fast, then disable digital wellbeing app through Android debloater.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Well I got it is with exchange of my old phone. Have been using OnePlus devices from last siz years.

This phone has been working fine for me from last 15 days. I saw people talking about battery period. I found it similar to previous phone. Full charge giving me a full day battery as per my usage.
The camera is good. Taking beautiful pictures at low light. Other AI features are also fine but haven't used those completely.

Not facing a heating issue as mentioned by many reviews.
Overall goo...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",brilliant color...brilliant phone!,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Camera is very excellent, smoothly working, 10-12 hour battery backup on screen.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Pixel is King👑,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Phone gets warm during basic tasks, battery life is also not that great imo.
Update: most issues fixed after software update.",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","An absolute banger of a product by Google. I chose this over the iPhone 15 and S24 and my oh my I was right. There's no way I'm going back to a mid range or cheap phone like the Oppos or Redmi again. Not like I'll have to ever, the longevity of Google is enough to keep me with them for many years.

I have loved the experience of the product so far and I am glad I bought the Pixel 8. However, there are still some points to note. The camera doesn't have a Pro mode or High Res mode, although the...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Amazing Phone from Google. Perfect size. Nice colour. All good.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Best product, Actually pixel 8 disign is very good and best camera quality ever and this device beats iphone 15 also in camera,. Performance and design also",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Overall a classy product.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","The pixel ever used.
1. Camera - 10/ 10 the biggest Samsung sensors ever which is GN2.
2. Display - 10/10 crisp and 120 hz is fantastic.
3. Design - 10/10 Compact and not able to believe that everything is there.
4. Battery - 9/10 Decent battery.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","The phone is an average phone regarding the price. It is not justified with its price.

Pros:
1. Back camera is top notch.
2. Low light photography is awesome.
3. Smooth android experience.
4. Display is good for content consumption.
5. Lil bit gaming is okay.
6. Backside look and colour is very good. Gives Premium feeling.

Cons:
1. Selfie camera is bad.
2. Battery drains quickly some time.
3. I faced charging issue with my old OnePlus Adaptor.
4. Performance is average.
5. The phone gets h...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","Didn't see any heating issues which was a concern and I can see it's a niche product, not for everyone but hopefully pixels will become more mainstream.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",It's too early for review but this is based on first few days experience. 7 years of OS and security updates was pleasant and unexpected. I was a fan since Nexus series but now with the Pixel series specifically Pixel 8 they did a major upgrade complementing with AI and photography. Google has always been champ of OS and now they are excelling Hardware also combining AI and Photography. Cheers.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Absolutely stunning phone in this price range. Good performance, awesome camera and display. Showstopper of BBD sale.",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","I was in deep dilemma for which phone to buy between I phones, Samsungs and One Plus. But somehow have not heard great things about One Plus lately, so stuck to top 3. Of that, I wanted to stick to Android as Apple is needlessly exclusive. So ended up with Samsung and Pixel shortlist. After reading multiple reviews, went for Pixel 8. It's a pleasant experience so far. Amaze camera and Ai features, handy compact phone, google keeps doing some nudges and fun stuff on it's own like creating coll...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","Upgraded from Vivo y50 to pixel 8

1. Performance - Great
2. Camera - definitely better than apple in colour quality but have to improve in blur and potrait mode
3. Battery - after 90% charge it will give you 1 day battery life easily
4. Design - The Best in world
5. Display - it's too good

Bonus point (TiP)
Go for only Google charger, I bought ambrane charger which said it's 30W but written doun if can only give Power supply Max of 20v so go for only Google charger.

Please don't go for...
READ MORE",3
"Google Pixel 8 (Hazel, 256 GB) Reviews",More better than I phone at this price ... If u not want to be within limits then go for it best android phone without any lags .. Samsung + Google pixel rocks,5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Just one word - Awesome!,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","No nonsense phone. Great camera performance.
Best compact phone with the best of Google features.
Cherry on the top - OS support till 7 years",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Bought it during the big billion sale
This is my first premium mobile, liked the design and it's easy for single hand use
Display is good, haptics are good
Camera is decent ..have not explored too much
Heats up during video calls
Battery is a big disappointment, have to charge twice a day
Don't buy this mobile, thinking it has a 7 yr upgrade and it's premium looks, not worth it
And not worth paying 60k plus
Premium Chinese phones at 40k are way better",3
"Google Pixel 8 (Hazel, 256 GB) Reviews","Worth it
Camera - 10/10
Performance - 10/10
Display - 10/10
In hand feel - 10/10
Battery - 8/10
Software experience (AI) - 10/10",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Great Camera, Great Specs, I'm Switched IPHONE XR to PIXEL 8. Pixel Experience is Brilliant. Worth Buying. Yes, Price is Kind of Higher than other phone. But when u use this device, Then U feel like holding a Real flagship device better than S23 and iPhone 14. Now, Some cons, This phone has different kind of bugs, felt using in just 8 hrs. I think updates will fixed this later. And guys When u buy a pixel device always buy a Google 30W charger along with this. Coz, I'm charging with my apple...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Nice phone. Camera is simply awesome.Performance is smooth. No or minimal heating issue which might be solved by further updates. Battery backup is ok,if you are a normal user. Charging is faster with Google 30 w adapter.Not to be recommended for gamers.
Overall performance is very good. Certainly you should go for it.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","I'm not sure why there is so much negative talk about the product outside or even in Flipkart reviews about heating
My device didn't heat up much yes there is a slight warmth in extensive usage that I observed in the iPhone too

Secondly I liked the pixel because of the AI dude this is way smatter than iPhone in most of the aspects

Finally it's up to you to make a decision
If you want a smarter phone way smatter than apple then pixel is best

7 years of software updates and security p...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Everything is fine but there is a heating issue which is required to be fixed. As I don't play games or anything but phone gets heated up even after watching anything on the device,4
"Google Pixel 8 (Hazel, 256 GB) Reviews",Awesome pers,4
"Google Pixel 8 (Hazel, 256 GB) Reviews","As we all know if bought in India we don't get much of the AI Magic 😔.

Having said that, the phone is really good to use in hands the haptics, screen, buttons everything u interact with is a really good experience.

Camera for which this phone is praised is also really good. But, in back camera switching to .5 zoom and taking pic of anything closer yields a very pixelated image. Also, if u open the camera all the other apps are just abruptly killed. Yes that 8GB ain't enough to keep the app...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","Initially when I received the phone I was disappointed. The phone was heating a lot even when it's in idle then I searched for heating issues and found out there is a adaptive connectivity service process running in the background and disabled it.
From then the phone wasn't heating(sometimes while using camera) . Performance I don't play games so I never felt like there was any performance issues or lags.This is an excellent phone if you are considering to buy a stock android phone around 30-35k",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Writing this review after 10 days of usage

- PROS
- Clean Android experience pure stock, no lags no jitter.
- Camera quality is superb , no over saturation of colors like other brands, It's impossible to take the wrong photo with Pixel. Picture quality is also near natural
- Processing speed is okay for my work as I am not a heavy user or gamer.
- Heating is there when you use the phone constantly but it's bearable and normal , it does not get sky high hot.
- Battery is decent

Cons
- As su...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",I will say if u don't play games and not a very heavy addictive user of phone then u can go blindly for it. The camera never disappoints you the screen makes you fall in love and it's haptic feedback and vibration motor... I will just say I love it ... U may find a lot of negative feedback and comments about the phone but it's not the way as they show it's far better and at the price in BBD sale it will be an insane buy to get it.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Awesome 😎,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","The phone was Beast Camera(10/10), performance (9/10), Display (10/10).",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","The device feels perfect in my hands, and I really appreciate the Pixel!",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Good,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","The rounded aluminium sides and curved glass back feel nice and are easy to hold.New generative AI features including various image and video editing tools, new abilities for its voice assistant. Overall best Android phone ever launched . Futuristic 🚀",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Value for money
Contemporary of iPhone in Android",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Excellent camera... heating is ok... battery life average...,5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Really good 💯😊 product. Much better than iPhone. While looking and having the phone in hand doesn't feel like having a costlier mobile.but using its features makes unique and stand a step for the pixels.,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","I purchased it after using iPhone 12 mini for 3 years

Beautiful design. Very elegant looking. Camera is also very nice. Battery doesn't seem to be a major issue to me. Display is nice. No network issues as I only use 4g.

The only downside I noticed is that it heats up sometimes and the optical fingerprint sensor is not accurate always.",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Couldn't connect with jio 5,3
"Google Pixel 8 (Hazel, 256 GB) Reviews",Good but not as good as Samsung flagships in all areas except photos and videos...,3
"Google Pixel 8 (Hazel, 256 GB) Reviews","I have been using stock Android for almost 10 years, moto nexus ,in note 2 , Motorola etc.... here are some cons of pixel 8
1)battery doesn't last for full day with moderate use.
2)camera pop up design makes the mobile feel heavier
3)save passwords error as instead of login Id it shows password
4)Gemini ai can do better.
Good points
Display is just awesome for HDR videos and daily use
Sound is good
Quick charging for first 50%
User friendly interface
Camera just tooo good
Overall good mo...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Good if bought around 50k. Good camera , ultra smooth performance. But it is only a good value proposition when bought in and around 50k",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","I'm using dis mobile from last 8 days...
1. Design looks classy......

2. Battery is compare to previous series much better v can tell....

3. Display always superb.....

4. Camera no words bcoz I'm pixel lover previous mobile also pixel 4a I used...now pixel 8 so no dout at all pics nd videos or always gud in dis in pixel series.....

5. Performance wise for me k bcoz I'm not gaming person to play games..soo overall I loved 😍 dis pixel 8 mobile.......

😍 😍 😍",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Google has an overall winner with pixel 8.
I have been using this phone for the last 3 weeks and I will say I am totally impressed by what you get on the phone.
If google stands by its claim of 7 years of OS update, then there are no regrets but only time will tell.

Pros:
1. Performance is smooth. It is not a flagship killer or an ultimate gaming phone but you will be plesently surprised by what it can offer. I haven't witnessed any glitches or lag as such so far. All app use experience has ...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","I traded my Pixel 7 for this, I'm very happy with my decision. This is the phone I would like to keep for at least 4 years. The phone is of perfect size, one of the best display panels I've seen on phones. Battery backup is top notch, they've definitely improved the speaker with this one. The OS is buttery smooth. They fixed the biometric scanner issue, now we have both face recognition and finger print working better than pixel 7 series.

The only area I didn't find any upgrade is the camera...
READ MORE",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",This is a very good phone. The pixel software is well optimised and works very smoothly. The display and design are excellent. The performance is average. This phone is not for gaming and it charges slowly and sometimes it feels a little warm because it is a compact phone and there is no major issue.,4
"Google Pixel 8 (Hazel, 256 GB) Reviews",Great product by Google. Not the best for gaming despite that performance is great 👍🏼,4
"Google Pixel 8 (Hazel, 256 GB) Reviews","I don't know why people are complaining about battery life and connectivity issues.. I don't have any connectivity issues, I am getting to use this device for a whole day with a single charge.. The camera performance is excellent.. The price is definitely on the higher side but U can compromise for the camera and 7 years of android updates..",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","The battery will take 1 hour 45 minutes to charge with the original Google charger.
Will gets warm when doing any heavy task and playing games.You need to use the phone with a back cover to avoid the body heating issue.

Display,Sound and design is good. Quiet handy phone.
Camera clarity is good but zooming is missing in the phone.
Strictly for users who love pixel experience others please stay out and better go with other better options",3
"Google Pixel 8 (Hazel, 256 GB) Reviews","Good performance mobile
Camera overall better
Battery also superb
Everything super I love pixel 8 device",5
"Google Pixel 8 (Hazel, 256 GB) Reviews","Must buy

Good camera 📸
Nice design 👌🏼
But i thik Pixel 4As display is better than Google Pixels other phones...6 / 7 / 8....",5
"Google Pixel 8 (Hazel, 256 GB) Reviews",Good,5
"Google Pixel 8 (Hazel, 256 GB) Reviews","This is a great android phone with excellent camera quality.
Pros:
Camera: picture quality is outstanding with Google processing after capturing makes DSLR like pictures.Edge detection is not perfect in portrait mode.

UI: very smooth UI you can feel flagship experience in it.

Design: its size is compact and great for single hand usage and it's design is unique. Haptic and vibration is so good .

AI features: there are lots of AI and other features that makes this phone brilliant than ot...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews","Battery is below average other than top flagship, heating issue is their but doesn't last long,
Camera as usual typical pixel ,one of the best, average selfie cam in low-light
Design is awesome
Display is crispy too
Haptics are best in business",4
"Google Pixel 8 (Hazel, 256 GB) Reviews",Battery should be better at this given price. Can't sustain even a day with full charge and minimum app use.,4
"Google Pixel 8 (Hazel, 256 GB) Reviews","Have been using Samsung flagship and mid rangers since last 10 years and was put off by UI and duplicate app stores. Decided to switch to Pixel 8. Design and software is fluid compared to 3rd party UIs.Very happy with the camera performance as it's flagship grade alongwith AI integration for editing video n photos. Battery performance is average.Hope future updates improve its performance.Experiencing heating issues during extended usage specially on 5g.If you want to stick to Android, it's t...
READ MORE",4
"Google Pixel 8 (Hazel, 256 GB) Reviews",Incredible experience from Pixel as always. Earlier used Pixel 4a for 4 years and still using and now also using Pixel 8 from last 5 months.,5
