product_name,review,rating
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Awesome product in this price range.,4
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Nice Phone Under This Range Fully Satisfy 😃😃😃😃😃 Battry Backup Is Awesome,5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Camera Iss Good 👍
Battery 🔋 wow",5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Nice camera, superb.",5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Wonderful phone. I m getting strain on my eyes. Display is only 720. Rest is very nice phone. Bloatware is too much. Phone is great in this price,4
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Excellent product for office use
Nice design
Good performance",5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Absolutely superb phone in this range
Overall performance is good
Don't hesitate and buy this phone 💫💫💫",5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Overall good,4
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Amazing View Camera Quality Best..
Battery Backup 🔋
Looking Good 👍
Display ✅",4
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Mobile performance is good.
Battery drain fast.
Display is ok.
Sound is low as compared to realme 8 mobile.
Camera is good",4
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Don't listen to any negative comments . It's perfect phone in this range,5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Good 👍,5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews","Really awesome 👍🏻
Design-10
Display -8
Battery-10
Charging-10
Camera-8
Performance-9",5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",Best smartphone under 15k.,5
