product_name,review,rating
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","It's an excellent phone with great display, performance, camera. It ticks almost all the boxes.
I faced heating issues for first 2 days while updates where happening.

Cons:
Battery life. First 2 days, it was not even lasting one day, now it improved and lasting one day but barely",4
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Nice,4
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","📷-awesome
Display-outstanding
🔋-could be better
Performance-best",5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Excellent product,5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Bought this for mom so far good. Bezel are thick overall performance is good. Camera is good,4
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Battery last Max a day with moderate use. Rest is best.,5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","Brought Samsung galaxy S23 fe 15 days ago....
Camera Quality is good , Battery last for 1 , touch is Quite soft , overall Gives a premium look... nice phone.",4
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Out Standing Performance By Camera And Display But Battery Not Up To The Mark And Also Little Bit Heat,4
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","The camera side is super ok but battery performance is very bad im charging this mobile twice daily,mobile heating is one oth major problem in this mobile you can't bear that heat due to back side glass,if you use glash its also get heated within a few minutes,design is ok,touch screen is very much adaptive,display is also good.if samsung overcome these above issues then it will be the best phone for ever otherwise its waste of money as per my opinion.",3
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Battery very worst,3
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Overall phone is good for normal use but there's heating issue if you use it for long time,3
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Good mobile you will not regret after buying it. Ai Features are worth metioning. Battery is little low but thats good in this price. Camera is awesome. Processor is also good.,5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Battery drains fast...but all other features are top notch...this is my first Samsung mobile...I am satisfied 😄 👌,5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","I can't tell the quality Flipkart gives in this price range
Good phone
Camera is excellent top quality
Performance. ...no one can beat
Awesome 👍😎",4
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","the Samsung Galaxy S23 FE 128GB variant delivers an almost flagship-level experience with its stunning display, powerful performance, and versatile camera system. The only significant drawback is the battery life, which might not suffice for power users. Nevertheless, for those seeking a high-quality smartphone at a reasonable price, the Galaxy S23 FE is a compelling choice that offers great value for money.Overall, despite the battery backup issue, my experience with the Samsung Galaxy S23 F...
READ MORE",5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","Camera is awesome 👌 loved it ❤️
If you want to buy for camera don't hesitate
Design is mind blowing 🤯",5
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews","This phone shouldn't be sold in col regions, I mean the heat produced by this phone could warm up an entire village",3
"SAMSUNG Galaxy S23 FE (Purple, 256 GB) Reviews",Nice product as a whole. I dont play games so my battery lasts for around 36 hours.,5
