product_name,rating,cleaned_review,Sentiment,Sentiment_Score
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,awesome product price range,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nice phone range fully satisfy battry backup awesome,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,camera iss good battery wow,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nice camera superb,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,wonderful phone getting strain eyes display 720 rest nice phone bloatware much phone great price,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,excellent product office use nice design good performance,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,absolutely superb phone range overall performance good dont hesitate buy phone,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,overall good,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,amazing view camera quality best battery backup looking good display,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,mobile performance good battery drain fast display ok sound low compared realme 8 mobile camera good,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,dont listen negative comments perfect phone range,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,good,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,really awesome design10 display 8 battery10 charging10 camera8 performance9,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,best smartphone 15k,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,awesome mobile camera35 battery39 display45,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,good product,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,phone ideal users seeking durable sturdy device offers reliable overall performance including decent camera longlasting battery bright vibrant display designed smooth operation longterm use perfect everyday tasks stands dependable choice daily use youre prioritizing practical performance durability toptier specs phone excellent option,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nice product love oppo always purchase sweet wife,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,good option ladies always throw phone floor angry negative thing display 720p,Negative,-1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,good excellent nice best,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,phone good value money camera battery display performance,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,camera quality low facilities excellent,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",3,best,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,oppo k12x 5g,Neutral,0
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,one best phone range battery backup 55 camer quality 25 display 45 design 55 performance 55 aq prince range,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,worth,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,oppo k 12 5 g super gorgeous,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,super model,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,overall phone good budgets looking good camera good display ok,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,nice phone video super sound super,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,good happy,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nice product well performed thank much flipkart,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,osm,Neutral,0
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,photo looking good camera good quality camera bad poor first day put change 100 7 hours without using battery charger 67 battery bad display phone also goodplease dont take phone waste money,Negative,-1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,oppo k12x total value money smartphone used 10 days excellent performance smooth software experience long lasting battery 2 days awesome design great camera quality total satisfied smartphone give 9510 thanks flipkart oppo,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nice quality oppo 12kx,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,battery best camera quality improved setting camera gaming mobile phone,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,superb mobile nice design battery performance good fabulous condition,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,camera 70 performance 80 product 85 battery 90 display size 85 design 90 everything also good condition,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,"looking awesome 1 camera710 2 battery1010 3 performance810 4 display ,810 5 charging adopter1010 6 designed910 good 13,000segments",Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,amazing phone price range go vfm product one toughest fastest phones segment,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,best phone value money,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,oppo k12x 5g budgetfriendly smartphone offers impressive durability decent display solid performance making great choice seeking reliable affordable device oppo best work software good one problem bloatware,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,awesome mobile segment value money go worth every penny amazing camera quality best battery life user friendly ui,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,nice phone budget display fhd,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nice product,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",3,bad camera quality good display design nice performance average battery performance bad camera quality price point,Negative,-1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",3,battery low,Neutral,0
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,good product camera quality nice display beautiful thank flipkart,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,best smartphone 15k awesome good performance,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,nyc,Neutral,0
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,love oppo mobile like happy,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,best phone price segment one following features superb,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,oppo k12x excellent choice midrange phone offering impressive stability 360degree armor body design sleek premium reflecting oppos commitment quality performance solid good optimization though occasional lags expected price range camera decent could use improvement hopefully future updates enhance plus side storage optimization battery life 45 watt fast charger read,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",5,loved oppo mobile great performance like battery display camera smooth processor using oppo f 17 last 35 years lagging issue great phone go oppo phone undoubtedly,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",3,good deal price range,Positive,1
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB) Reviews",4,good quality,Positive,1
